,ID,Fullname,Park Code,URL,State,Lat & long,Types of Activities
189,B7FF43E5-3A95-4C8E-8DBE-72D8608D6588,Grand Canyon National Park,grca,https://www.nps.gov/grca/index.htm,AZ,"lat:36.0001165336, long:-112.121516363",33
190,F614E6C5-1283-431A-AF44-15FC849D65FE,Grand Canyon-Parashant National Monument,para,https://www.nps.gov/para/index.htm,AZ,"lat:36.41535465, long:-113.6682797",23
191,E463E13F-FCD4-41B3-AEF3-BA3199E04399,Grand Portage National Monument,grpo,https://www.nps.gov/grpo/index.htm,MN,"lat:47.99294217, long:-89.75573031",22
192,FF73E2AA-E274-44E1-A8F5-9DD998B0F579,Grand Teton National Park,grte,https://www.nps.gov/grte/index.htm,WY,"lat:43.81853565, long:-110.7054666",53
193,72A30002-12FA-4738-BCA7-1FA8062214CB,Grant-Kohrs Ranch National Historic Site,grko,https://www.nps.gov/grko/index.htm,MT,"lat:46.41358923, long:-112.7467024",6
194,4C1A549B-080F-4522-9CA7-67BB5A0845CA,Great Basin National Park,grba,https://www.nps.gov/grba/index.htm,NV,"lat:38.94617378, long:-114.2579782",42
195,5B1021C9-5F48-4747-B0E4-6F508FDF96AE,Great Egg Harbor River,greg,https://www.nps.gov/greg/index.htm,NJ,"lat:39.3042, long:-74.6497",24
196,4DC6F018-E87E-46AE-8F05-BA30D3B82FF9,Great Falls Park,grfa,https://www.nps.gov/grfa/index.htm,VA,"lat:38.98776107, long:-77.25128326",5
197,461D40CC-4379-4C1B-ADB8-3563147F61A1,Great Sand Dunes National Park & Preserve,grsa,https://www.nps.gov/grsa/index.htm,CO,"lat:37.79256812, long:-105.5919572",56
198,D9819727-18DF-4A84-BDDE-D4F2696DE340,Great Smoky Mountains National Park,grsm,https://www.nps.gov/grsm/index.htm,"NC,TN","lat:35.60116374, long:-83.50818326",36
199,67B6A06A-1B09-44DE-BCA4-C013EE30DDD0,Green Springs,grsp,https://www.nps.gov/grsp/index.htm,VA,"lat:38.037099, long:-78.189823",3
200,8CEE28AB-50AE-4AC6-ACEF-B209A5346743,Greenbelt Park,gree,https://www.nps.gov/gree/index.htm,MD,"lat:38.98328267, long:-76.89722133",11
201,6510001B-685D-4688-A963-4ECE7AB609DB,Guadalupe Mountains National Park,gumo,https://www.nps.gov/gumo/index.htm,TX,"lat:31.92304462, long:-104.885527",20
202,D1417003-3F9E-4FE0-9C6B-8ECE50855C7B,Guilford Courthouse National Military Park,guco,https://www.nps.gov/guco/index.htm,NC,"lat:36.13225478, long:-79.8424561",13
203,ACA78E27-3C26-4C8B-8CCB-9F0B5BED247F,Gulf Islands National Seashore,guis,https://www.nps.gov/guis/index.htm,"FL,MS","lat:30.29924926, long:-87.75064297",49
204,BEE3E4AA-D61B-4197-A2A0-567D15734766,Hagerman Fossil Beds National Monument,hafo,https://www.nps.gov/hafo/index.htm,ID,"lat:42.79074114, long:-114.9443074",14
205,4930BAEB-A3BF-4825-9796-DCD0FD1C3BD5,Haleakalā National Park,hale,https://www.nps.gov/hale/index.htm,HI,"lat:20.70693015, long:-156.1591775",8
206,4E169088-14AC-41DB-A6B2-BB3925B1CF0A,Hamilton Grange National Memorial,hagr,https://www.nps.gov/hagr/index.htm,NY,"lat:40.81871605, long:-73.94878487",7
207,5FD56750-4A13-4615-B987-793AC356B320,Hampton National Historic Site,hamp,https://www.nps.gov/hamp/index.htm,MD,"lat:39.4175296, long:-76.58781182",18
208,211E9758-FA5F-4BAA-AABF-D939B7C07A79,Harmony Hall,haha,https://www.nps.gov/haha/index.htm,MD,"lat:38.74646351, long:-77.00377069",2
209,2828F5DF-F4E9-48DE-9D4D-2EC39E0276B2,Harpers Ferry National Historical Park,hafe,https://www.nps.gov/hafe/index.htm,"WV,VA,MD","lat:39.31865949, long:-77.74088546",6
210,067468EC-25DB-447C-91A8-068C167EEF32,Harriet Tubman National Historical Park,hart,https://www.nps.gov/hart/index.htm,NY,"lat:42.9128920287, long:-76.5646715462",5
211,380E7DFB-6F37-499F-8996-356EC5F0DDE5,Harriet Tubman Underground Railroad National Historical Park,hatu,https://www.nps.gov/hatu/index.htm,MD,"lat:38.4548643511, long:-76.1373451376",6
212,76F393BA-D39F-43E9-B0A3-F746E2FEAD85,Harry S Truman National Historic Site,hstr,https://www.nps.gov/hstr/index.htm,MO,"lat:38.92711967, long:-94.5162488",7
213,D9BF4288-9AC3-4526-9598-BE8920839ACC,Hawaiʻi Volcanoes National Park,havo,https://www.nps.gov/havo/index.htm,HI,"lat:19.3355036, long:-155.4700257",17
214,43AC146A-0903-4E4A-BD7D-7169655009C7,Herbert Hoover National Historic Site,heho,https://www.nps.gov/heho/index.htm,IA,"lat:41.66793558, long:-91.35232139",13
215,9CFF594A-8DB1-4377-BE2A-10CC2B0C47E1,Historic Jamestowne Part of Colonial National Historical Park,jame,https://www.nps.gov/jame/index.htm,VA,"lat:37.2065, long:-76.7538",5
216,BBA0A580-E05B-42DD-A64F-7C6F958091C5,Home Of Franklin D Roosevelt National Historic Site,hofr,https://www.nps.gov/hofr/index.htm,NY,"lat:41.76639758, long:-73.92516857",6
217,3E1E316B-2F1A-4F08-8BD0-AE64761D68C2,Homestead National Historical Park,home,https://www.nps.gov/home/index.htm,NE,"lat:40.28802381, long:-96.83387781",17
218,88F37F00-EAD0-44C4-88D1-F42D52BF661B,Hono'uli'uli National Historic Site,hono,https://www.nps.gov/hono/index.htm,HI,"lat:21.38817536, long:-158.0574991",2
219,BE344FC9-4366-493D-B881-4E5AD4973CF5,Hopewell Culture National Historical Park,hocu,https://www.nps.gov/hocu/index.htm,OH,"lat:39.31594374, long:-83.08049456",11
220,D709F8AB-E094-4C58-8B9E-2E4958AA2BF2,Hopewell Furnace National Historic Site,hofu,https://www.nps.gov/hofu/index.htm,PA,"lat:40.20610637, long:-75.76766355",30
221,7565F317-EA13-4E07-9059-D6831CA7E4A9,Horseshoe Bend National Military Park,hobe,https://www.nps.gov/hobe/index.htm,AL,"lat:32.97668879, long:-85.73413589",38
222,ED9C0322-68FB-4DE1-A884-61C623281C9D,Hot Springs National Park,hosp,https://www.nps.gov/hosp/index.htm,AR,"lat:34.52414366, long:-93.06332936",20
223,BA84404E-743C-4841-9F83-87CEDA164E5B,Hovenweep National Monument,hove,https://www.nps.gov/hove/index.htm,"CO,UT","lat:37.39134092, long:-109.0047977",8
